Seed,Team
1,Auburn
999,Bye
67,Alabama St
68,Saint Francis
29,Louisville
999,Bye
33,Creighton
999,Bye
17,Michigan
999,Bye
47,UC San Diego
999,Bye
13,Texas A&M
999,Bye
51,Yale
999,Bye
24,Mississippi
999,Bye
43,San Diego St
46,North Carolina
10,Iowa St
999,Bye
55,Lipscomb
999,Bye
26,Marquette
999,Bye
38,New Mexico
999,Bye
7,Michigan St
999,Bye
62,Bryant
999,Bye
4,Florida
999,Bye
63,Norfolk St
999,Bye
31,UConn
999,Bye
36,Oklahoma
999,Bye
20,Memphis
999,Bye
48,Colorado St
999,Bye
15,Maryland
999,Bye
54,Grand Canyon
999,Bye
23,Missouri
999,Bye
44,Drake
999,Bye
9,Texas Tech
999,Bye
57,UNC Wilmington
999,Bye
28,Kansas
999,Bye
37,Arkansas
999,Bye
8,Saint John's
999,Bye
61,Omaha
999,Bye
2,Duke
999,Bye
66,Mount Saint Mary's
65,American
32,Mississippi St
999,Bye
35,Baylor
999,Bye
19,Oregon
999,Bye
50,Liberty
999,Bye
16,Arizona
999,Bye
53,Akron
999,Bye
21,BYU
999,Bye
45,VCU
999,Bye
12,Wisconsin
999,Bye
58,Montana
999,Bye
27,Saint Mary's
999,Bye
39,Vanderbilt
999,Bye
6,Alabama
999,Bye
59,Robert Morris
999,Bye
3,Houston
999,Bye
64,SIUE
999,Bye
30,Gonzaga
999,Bye
34,Georgia
999,Bye
18,Clemson
999,Bye
49,McNeese
999,Bye
14,Purdue
999,Bye
52,High Point
999,Bye
22,Illinois
999,Bye
42,Xavier
41,Texas
11,Kentucky
999,Bye
56,Troy
999,Bye
25,UCLA
999,Bye
40,Utah St
999,Bye
5,Tennessee
999,Bye
60,Wofford
999,Bye
